"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
THERMAL ZONE: UNIT_0303: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 23 FAN,Fan:OnOff,        0.60,0.81,868.74,472.45,334.75,        1.00,""
THERMAL ZONE: UNIT_0304: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 24 FAN,Fan:OnOff,        0.60,0.81,699.23,372.54,334.75,        1.00,""
THERMAL ZONE: UNIT_0305: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 25 FAN,Fan:OnOff,        0.60,0.81,487.34,265.64,334.75,        1.00,""
THERMAL ZONE: UNIT_0306: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 36 FAN,Fan:OnOff,        0.60,0.81,1991.75,1072.5,334.75,        1.00,""
THERMAL ZONE: UNIT_0307_3B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 26 FAN,Fan:OnOff,        0.60,0.81,699.23,381.1,334.75,        1.00,""
THERMAL ZONE: UNIT_0308: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 37 FAN,Fan:OnOff,        0.60,0.81,1716.29,923.5,334.75,        1.00,""
THERMAL ZONE: UNIT_0309_2B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 27 FAN,Fan:OnOff,        0.60,0.81,678.04,369.53,334.75,        1.00,""
THERMAL ZONE: UNIT_0310: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 28 FAN,Fan:OnOff,        0.60,0.81,995.87,532.74,334.75,        1.00,""
THERMAL ZONE: UNIT_0311: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 29 FAN,Fan:OnOff,        0.60,0.81,995.87,539.43,334.75,        1.00,""
THERMAL ZONE: UNIT_0312: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 30 FAN,Fan:OnOff,        0.60,0.81,932.31,504.66,334.75,        1.00,""
THERMAL ZONE: UNIT_0313: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 31 FAN,Fan:OnOff,        0.60,0.81,932.31,504.31,334.75,        1.00,""
THERMAL ZONE: UNIT_0314: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 32 FAN,Fan:OnOff,        0.60,0.81,995.87,534.55,334.75,        1.00,""
THERMAL ZONE: UNIT_0315: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 33 FAN,Fan:OnOff,        0.60,0.81,953.5,518.41,334.75,        1.00,""
THERMAL ZONE: UNIT_0316: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 38 FAN,Fan:OnOff,        0.60,0.81,1991.75,1071.48,334.75,        1.00,""
THERMAL ZONE: UNIT_0317_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 53 FAN,Fan:OnOff,        0.60,0.81,1589.16,854.64,334.75,        1.00,""
THERMAL ZONE: UNIT_0401_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 39 FAN,Fan:OnOff,        0.60,0.81,868.74,467.67,334.75,        1.00,""
THERMAL ZONE: UNIT_0402: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 40 FAN,Fan:OnOff,        0.60,0.81,1017.06,549.42,334.75,        1.00,""
THERMAL ZONE: UNIT_0403: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 41 FAN,Fan:OnOff,        0.60,0.81,1017.06,545.33,334.75,        1.00,""
THERMAL ZONE: UNIT_0404: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 42 FAN,Fan:OnOff,        0.60,0.81,783.99,422.49,334.75,        1.00,""
THERMAL ZONE: UNIT_0405: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 43 FAN,Fan:OnOff,        0.60,0.81,550.91,294.3,334.75,        1.00,""
THERMAL ZONE: UNIT_0406: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 54 FAN,Fan:OnOff,        0.60,0.81,2161.26,1170.16,334.75,        1.00,""
THERMAL ZONE: UNIT_0407_3B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 44 FAN,Fan:OnOff,        0.60,0.81,762.8,416.28,334.75,        1.00,""
THERMAL ZONE: UNIT_0408: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 55 FAN,Fan:OnOff,        0.60,0.81,1822.24,980.75,334.75,        1.00,""
THERMAL ZONE: UNIT_0409_2B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 45 FAN,Fan:OnOff,        0.60,0.81,741.61,400.11,334.75,        1.00,""
THERMAL ZONE: UNIT_0410: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 46 FAN,Fan:OnOff,        0.60,0.81,1101.82,592.48,334.75,        1.00,""
THERMAL ZONE: UNIT_0411: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 47 FAN,Fan:OnOff,        0.60,0.81,1123.01,603.91,334.75,        1.00,""
THERMAL ZONE: UNIT_0412: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 48 FAN,Fan:OnOff,        0.60,0.81,1059.44,566.52,334.75,        1.00,""
THERMAL ZONE: UNIT_0413: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 49 FAN,Fan:OnOff,        0.60,0.81,1059.44,567.58,334.75,        1.00,""
THERMAL ZONE: UNIT_0414: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 50 FAN,Fan:OnOff,        0.60,0.81,1123.01,605.38,334.75,        1.00,""
THERMAL ZONE: UNIT_0415: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 51 FAN,Fan:OnOff,        0.60,0.81,1080.63,587.98,334.75,        1.00,""
THERMAL ZONE: UNIT_0416: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
