"",Standard Rated Net Cooling Capacity,Standard Rated Net COP,EER,SEER,IEER
THERMAL ZONE: AMEN_0300 COIL COOLING DX SINGLE SPEED,121273.66,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_0400 COIL COOLING DX SINGLE SPEED,122526.59,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_0500 COIL COOLING DX SINGLE SPEED,123849.48,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_2100 COIL COOLING DX SINGLE SPEED,23242.14,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_2204 COIL COOLING DX SINGLE SPEED,50660.07,        3.13,10.67,11.31,10.81
THERMAL ZONE: AMEN_2205 COIL COOLING DX SINGLE SPEED,16435.26,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_FITNESS_2202 COIL COOLING DX SINGLE SPEED,60856.23,        3.06,10.44,11.06,10.42
THERMAL ZONE: AMEN_SKYLOUNGE_2201 COIL COOLING DX SINGLE SPEED,82967.25,        3.03,10.33,10.94,10.29
THERMAL ZONE: AMEN_SUNROOM_2203 COIL COOLING DX SINGLE SPEED,21405.39,        3.13,10.67,11.31,10.81
THERMAL ZONE: ELEV CONTROL_2301 COIL COOLING DX SINGLE SPEED,206.09,        3.15,10.76,11.4,10.94
THERMAL ZONE: ELEV CONTROL_2302 COIL COOLING DX SINGLE SPEED,140.58,        2.58,8.81,9.34,8.93
THERMAL ZONE: LAUNDRY_0109 COIL COOLING DX SINGLE SPEED,12416.44,        3.17,10.8,11.45,11.01
THERMAL ZONE: LOBBY_0101 COIL COOLING DX SINGLE SPEED,5971.59,        3.17,10.8,11.45,11.01
THERMAL ZONE: OFFICE_0101 COIL COOLING DX SINGLE SPEED,9173.54,        3.03,10.33,10.94,10.29
THERMAL ZONE: RETAIL_0100 COIL COOLING DX SINGLE SPEED 1,120747.16,        3.13,10.67,11.31,10.81
THERMAL ZONE: XFMR_0201 COIL COOLING DX SINGLE SPEED,9658.41,        3.17,10.8,11.45,11.01
THERMAL ZONE: XFMR_0401 COIL COOLING DX SINGLE SPEED,57968.53,        2.69,9.16,9.73,9.49
