Zone Names,Space Names,Spacetype Tag,Conditioned,Baseline System,Proposed system,ERV
THERMAL ZONE: UNIT_0303, UNIT_0303, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0304, UNIT_0304, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0305, UNIT_0305, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0306, UNIT_0306, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0307_3B, UNIT_0307_3B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0308, UNIT_0308, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0309_2B, UNIT_0309_2B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0310, UNIT_0310, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0311, UNIT_0311, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0312, UNIT_0312, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0313, UNIT_0313, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0314, UNIT_0314, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0315, UNIT_0315, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0316, UNIT_0316, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0317_4B, UNIT_0317_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0401_4B, UNIT_0401_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0402, UNIT_0402, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0403, UNIT_0403, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0404, UNIT_0404, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0405, UNIT_0405, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0406, UNIT_0406, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0407_3B, UNIT_0407_3B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0408, UNIT_0408, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0409_2B, UNIT_0409_2B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0410, UNIT_0410, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0411, UNIT_0411, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0412, UNIT_0412, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0413, UNIT_0413, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0414, UNIT_0414, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0415, UNIT_0415, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0416, UNIT_0416, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0417_4B, UNIT_0417_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0501_4B, UNIT_0501_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0502, UNIT_0502, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0503, UNIT_0503, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0504, UNIT_0504, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0505, UNIT_0505, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0506, UNIT_0506, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0507_3B, UNIT_0507_3B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0508, UNIT_0508, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0509_2B, UNIT_0509_2B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0510, UNIT_0510, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0511, UNIT_0511, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0512, UNIT_0512, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0513, UNIT_0513, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0514, UNIT_0514, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0515, UNIT_0515, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0516, UNIT_0516, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_0517_4B, UNIT_0517_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2101_4B, UNIT_2101_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2102, UNIT_2102, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2103, UNIT_2103, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2104, UNIT_2104, UNIT,Conditioned,PTHP,VRF,
